,stt,poiDesc,tenphanloaidisan,tenloaihinhdisan,thongtingioithieu,giave,giavetreem,tentinh,tenhuyenthithanh,tenxaphuong,diachi,correctedCoords,poiLong,poiLat,anhdaidien,geometry,poiAddr,poiLatCorrected,poiLongCorrected,dLoc
10,11,Lăng Minh Mạng (Hiếu Lăng),Di sản văn hóa vật thể,Di tích lịch sử,"Tháng 2 năm 1820 vua Gia Long băng hà, hoàng tử thứ tư là Nguyễn Phúc Đảm được đưa lên ngai vàng, lấy niên hiệu là Minh Mạng. Vua Minh Mạng là người có nhiều đóng góp đối với công việc mở mang đất nước, đưa nước Đại Nam lên hàng mạnh nhất trong các quốc gia Đông Nam Á lúc bấy giờ.",150000.0,30000.0,Tỉnh Thừa Thiên Huế,Thành phố Huế,Xã Hương Thọ,,"16.38764110779309, 107.56907554476622",107.569108691846,16.3876555694667,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/5418/2022/07/lang_minh_mang.jpg,POINT (107.569108691846 16.3876555694667),", Xã Hương Thọ, Thành phố Huế",16.38764110779309,107.56907554476622,3.885813705615176
11,12,Lăng Thiệu Trị (Xương Lăng),Di sản văn hóa vật thể,Di tích lịch sử,"Lăng Thiệu Trị có tên chữ là Xương Lăng, nằm ở địa phận làng Cư Chánh, xã Thủy Bằng, thành phố Huế. So với lăng tẩm các vua tiền nhiệm và kế vị, lăng Thiệu Trị có những nét riêng độc đáo.",50000.0,,Tỉnh Thừa Thiên Huế,Thành phố Huế,Xã Thủy Bằng,,"16.417892871749526, 107.57258040625274",107.572519020705,16.4178651974389,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/5418/2022/08/langthieutri04.jpg,POINT (107.572519020705 16.4178651974389),", Xã Thủy Bằng, Thành phố Huế",16.417892871749526,107.57258040625274,7.236518245057625
12,13,Lăng Tự Đức (Khiêm Lăng),Di sản văn hóa vật thể,Di tích lịch sử,"Lăng Tự Đức là một trong những công trình đẹp nhất của kiến trúc thời Nguyễn. Ông vua thi sĩ Tự Đức (1848-1883) đã chọn cho mình một nơi yên nghỉ xứng đáng với ngôi vị của mình, phù hợp với sở thích và nguyện vọng của con người có học vấn uyên thâm và lãng tử bậc nhất trong hàng vua chúa nhà Nguyễn. Lăng tọa lạc trong một thung lũng hẹp thuộc làng Dương Xuân Thượng, tổng Cư Chánh (nay là thôn Thượng Ba, xã Thủy Xuân, thành phố Huế).",150000.0,30000.0,Tỉnh Thừa Thiên Huế,Thành phố Huế,Phường Thuỷ Xuân,,"16.433003696818947, 107.56643177862958",107.565353,16.433174,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/5418/2022/07/37420.jpg,POINT (107.565353 16.433174),", Phường Thuỷ Xuân, Thành phố Huế",16.433003696818947,107.56643177862958,116.74563104905678
13,14,Lăng Ðồng Khánh (Tư Lăng),Di sản văn hóa vật thể,Di tích lịch sử,"Lăng Ðồng Khánh tọa lạc giữa một vùng quê tĩnh mịch thuộc làng Cư Sĩ, xã Dương Xuân ngày trước (nay là thôn Thượng Hai, xã Thủy Xuân, thành phố Huế).",50000.0,,Tỉnh Thừa Thiên Huế,Thành phố Huế,Phường Thuỷ Xuân,,"16.429930197533945, 107.5699971573556",107.57001,16.42995,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/5418/2022/07/dongkhanh.gif,POINT (107.57001 16.42995),", Phường Thuỷ Xuân, Thành phố Huế",16.429930197533945,107.5699971573556,2.5852676802870587
14,15,Lăng Gia Long (Thiên Thọ Lăng),Di sản văn hóa vật thể,Di tích lịch sử,"Tên gọi lăng Gia Long hiện nay thực ra là để chỉ cả một quần thể lăng tẩm của nhiều người trong hàng quyến thuộc của nhà vua, với trọng địa là khu lăng mộ của vua Gia Long và bà Thừa Thiên Cao Hoàng hậu.",50000.0,,Tỉnh Thừa Thiên Huế,Thành phố Huế,Xã Hương Thọ,,"16.361782683106913, 107.5968284270277",107.59677,16.36204,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/5418/2022/07/52133.jpg,POINT (107.59677 16.36204),", Xã Hương Thọ, Thành phố Huế",16.361782683106913,107.5968284270277,29.151505071423816
15,16,Phu Văn Lâu,Di sản văn hóa vật thể,Di tích lịch sử,"Trên trục chính của Hoàng thành Huế, từ Kỳ đài nhìn ra sông Hương có hai công trình kiến trúc rất duyên dáng tô điểm cho bộ mặt của Kinh thành Huế. Một trong hai công trình ấy là Phu Văn Lâu.",,,Tỉnh Thừa Thiên Huế,Thành phố Huế,Phường Thuận Hòa,,"16.465468722809014, 107.58092789602121",107.580897854935,16.4654710493563,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/5418/2022/07/phu_van_lau.jpg,POINT (107.580897854935 16.4654710493563),", Phường Thuận Hòa, Thành phố Huế",16.465468722809014,107.58092789602121,3.2181950592716437
16,17,Ngọ Môn,Di sản văn hóa vật thể,Di tích lịch sử,"Ngọ Môn là di tích kiến trúc thời Nguyễn, cổng chính phía nam của Hoàng thành. Ngọ Môn được xây dựng năm Minh Mạng 14 (1833), khi triều Nguyễn tổ chức qui hoạch lại toàn bộ mặt bằng kiến trúc Hoàng thành. Nguyên tại vị trí này trước kia là Nam Khuyết Đài, xây dựng đầu thời Gia Long. Trên đài có điện Càn Nguyên, hai bên có hai cửa là Tả Đoan Môn và Hữu Đoan Môn.",200000.0,40000.0,Tỉnh Thừa Thiên Huế,Thành phố Huế,Phường Thuận Hòa,,"16.467032088239044, 107.57968805730478",107.579109037712,16.4677814265734,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/5418/2022/07/ngomon04.jpg,POINT (107.579109037712 16.4677814265734),", Phường Thuận Hòa, Thành phố Huế",16.467032088239044,107.57968805730478,103.43729553827339
17,18,Viện Cơ Mật - Tam Tòa,Di sản văn hóa vật thể,Di tích lịch sử,"Tam Tòa, nằm ở địa chỉ 23 Tống Duy Tân, thuộc phường Thuận Thành, ở góc đông-nam bên trong kinh thành Huế, hiện là trụ sở của Trung tâm Bảo tồn Di tích Cố đô Huế. Đây là một di tích mang nhiều biến cố lịch sử với nhiều lần thay đổi cả về chức năng, kiến trúc và tên gọi.",,,Tỉnh Thừa Thiên Huế,Thành phố Huế,Phường Đông Ba,23 Tống Duy Tân,"16.471314048954817, 107.58412832133796",107.58413,16.47146,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/5418/2022/07/49207.jpg,POINT (107.58413 16.47146),"23 Tống Duy Tân, Phường Đông Ba, Thành phố Huế",16.471314048954817,107.58412832133796,16.15246259160576
18,19,Chùa Thiên Mụ,Di sản văn hóa vật thể,Di tích lịch sử,"Huế vốn là nơi qui tụ nhiều di tích thắng cảnh, nhiều ngôi chùa cổ kính nổi tiếng của Việt Nam. Nhưng ngôi chùa xưa nhất có lẽ phải kể đến chùa Thiên Mụ- nơi có sự tích ra đời gắn liền với bước chân mở đường của vị chúa Nguyễn đầu tiên xứ Đàng Trong.",,,Tỉnh Thừa Thiên Huế,Thành phố Huế,Phường Hương Long,,"16.453096831850054, 107.54490911318084",107.54496,16.45339,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/5418/2022/07/chuathienmu1.jpg,POINT (107.54496 16.45339),", Phường Hương Long, Thành phố Huế",16.453096831850054,107.54490911318084,32.89495124223051
19,21,Nghênh Lương Đình,Di sản văn hóa vật thể,Di tích lịch sử,"Trên trục dọc từ Kỳ đài ra đến Phu Văn Lâu, Nghênh Lương Đình cũng là một công trình được xây dựng dưới thời Nguyễn, dùng làm nơi nghỉ chân của nhà vua trước khi đi xuống bến sông để lên thuyền rồng hoặc làm nơi hóng mát. Trước đây, người ta phải ngăn con đường đi từ cửa Thể Nhơn (dân gian còn gọi là cửa Ngăn) ra Nghênh Lương Đình, không cho ai qua lại hoặc thấy mặt vua.",,,Tỉnh Thừa Thiên Huế,Thành phố Huế,Phường Thuận Hòa,Lê Duẫn,"16.46483192216786, 107.5814034765088",107.58137,16.46494,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/5418/2022/07/nghinhluongdinh.jpg,POINT (107.58137 16.46494),"Lê Duẫn, Phường Thuận Hòa, Thành phố Huế",16.46483192216786,107.5814034765088,12.483064480696841
20,22,Điện Voi Ré (Miếu Long Châu),Di sản văn hóa vật thể,Di tích lịch sử,"Nằm cách trung tâm thành phố Huế khoảng 5 km về phía Tây-Nam, trên địa phận thôn Trường Đá thuộc xã Thủy Biều, điện Voi Ré vừa là chứng tích một thời của đội Kinh tượng nhà Nguyễn, vừa là một di tích độc đáo thuộc quần thể di tích cố đô Huế.",,,Tỉnh Thừa Thiên Huế,Thành phố Huế,Phường Thuỷ Biều,Bùi Thị Xuân,"16.448229751052573, 107.55280151735377",107.55281,16.44828,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/5418/2022/07/die1bb87nvoire.jpg,POINT (107.55281 16.44828),"Bùi Thị Xuân, Phường Thuỷ Biều, Thành phố Huế",16.448229751052573,107.55280151735377,5.634021559228912
21,23,Hổ Quyền,Di sản văn hóa vật thể,Di tích lịch sử,"Hổ Quyền là một di tích hết sức đặc biệt trong quần thể di tích cố đô Huế, tọa lạc tại địa phận thôn Trường Đá, xã Thủy Biều, thành phố Huế.

Như ý nghĩa mà hai chữ Hổ Quyền bao hàm, đây thực sự là một chuồng nuôi hổ. Song bên cạnh đó, nó còn có chức năng của một đấu trường hết sức độc đáo mà theo sự hiểu biết của chúng tôi thì không hề có ở bất cứ nơi đâu trên thế giới: đấu trường của những cuộc tử chiến giữa voi và hổ.",,,Tỉnh Thừa Thiên Huế,Thành phố Huế,Phường Thuỷ Biều,,"16.44849019242968, 107.5545664015393",107.55456,16.44856,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/5418/2022/07/ho_quyen.jpg,POINT (107.55456 16.44856),", Phường Thuỷ Biều, Thành phố Huế",16.44849019242968,107.5545664015393,7.755330291008635
22,24,Đàn Nam Giao,Di sản văn hóa vật thể,Di tích lịch sử,"Đàn Nam Giao là nơi các vua Nguyễn tế trời, được đặt tại làng An Ninh vào năm 1803, thời vua Gia Long. Năm 1806, đàn được dời về phía Nam của Kinh Thành - nay là địa phận phường Trường An, thành phố Huế.",,,Tỉnh Thừa Thiên Huế,Thành phố Huế,Phường Trường An,,"16.437757160959073, 107.58269307782999",107.58267,16.43786,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/5418/2022/07/dannamgiaohue.jpg,POINT (107.58267 16.43786),", Phường Trường An, Thành phố Huế",16.437757160959073,107.58269307782999,11.644330325555403
23,25,Kỳ Đài,Di sản văn hóa vật thể,Di tích lịch sử,"Kỳ Đài, tục gọi Cột cờ là di tích kiến trúc thời Nguyễn. Kỳ Đài được xây dựng năm Gia Long thứ 6 (1807) ở vị trí chính giữa trên mặt nam của Kinh thành, thuộc phạm vi pháo đài Nam Chánh.",,,Tỉnh Thừa Thiên Huế,Thành phố Huế,Phường Thuận Hòa,,"16.46628443537681, 107.58028906315569",107.58046,16.46627,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/5418/2022/07/ki_dai_hue.jpg,POINT (107.58046 16.46627),", Phường Thuận Hòa, Thành phố Huế",16.46628443537681,107.58028906315569,18.322856921858527
24,27,Đàn Sơn Xuyên,Di sản văn hóa vật thể,Di tích lịch sử,"Ở Thừa Thiên Huế. ngoài đàn Nam Giao là nơi tế trời, đàn Xã Tắc là nơi tế đất, còn có đàn Sơn Xuyên là nơi tế thần sông, thần núi.Tất cả đều chung một mục đích là cầu cho “quốc thái, dân an, mùa màng tốt tươi”. Điều đặc biệt, ở nước ta hiện nay duy nhất còn đàn Sơn Xuyên ở Huế. Di tích đàn Sơn Xuyên hiện nay nằm trong khuôn viên trường tiểu học Phường Đúc, số 245 đường Bùi Thị Xuân.",,,Tỉnh Thừa Thiên Huế,Thành phố Huế,Phường Phường Đúc,245 Bùi Thị Xuân,"16.453716753158243, 107.56576229580827",107.56575,16.45385,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/5418/2022/07/45378.jpg,POINT (107.56575 16.45385),"245 Bùi Thị Xuân, Phường Phường Đúc, Thành phố Huế",16.453716753158243,107.56576229580827,14.8038977921678
