id,tendoituong,loaihinh,tenhieutruong,diachi,poiLong,poiLat,sdt,email,website,anh,geometry
151,Trường THPT Hà Trung,Trường THPT,Vương Hưng Tĩnh,"Vinh Hà, Phú Vang",107.7898675,16.39350527,914.351.745,thpt.htrung@hue.edu.vn,http://thpt-htrung.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/ha_trung.jpg,POINT (107.7898675 16.39350527)
152,Trường THPT DTNT tỉnh,Trường THPT,Trần Quang Đức,"3 Huyền Trân Công Chúa, Phường Đúc, Thành phố Huế, Thừa Thiên Huế",107.557427,16.44909592,"02343,88166",thpt.dtntt@hue.edu.vn,http://thpt-dtnttinh.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/dtnt.jpg,POINT (107.557427 16.44909592)
153,Trường THPT Nguyễn Trường Tộ,Trường THPT,Nguyễn Hướng,"3 Nguyễn Tri Phương, Phú Hội, Thành phố Huế, Thừa Thiên Huế",107.5914508,16.46456177,02343382424,thpt.ntt@hue.edu.vn,http://thpt-ntto.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/nguyen_truong_to.png,POINT (107.5914508 16.46456177)
155,Trường THPT Đặng Trần Côn,Trường THPT,Lê Vinh,"01 Đặng Trần Côn, Thuận Hoà, Thành phố Huế, Thừa Thiên Huế",107.573694,16.46395992,02343522195,thpt.dtc@thuathienhue.edu.vn,http://thpt-dtcon.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/dtcon.jpg,POINT (107.573694 16.46395992)
156,Trường THPT Gia Hội,Trường THPT,Phùng Đăng Khánh,"104 Nguyễn Chí Thanh, Phú Hiệp, Thành phố Huế, Thừa Thiên Huế",107.5875804,16.48368103,983.150.396,khanhpdtvk@gmail.com,http://thpt-ghoi.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/gia_hoi.png,POINT (107.5875804 16.48368103)
157,Trường THPT Cao Thắng,Trường THPT,Ngô Đắc Dũng,"11 Đống Đa, Phú Nhuận, Thành phố Huế, Thừa Thiên Huế",107.592914,16.46148592,02343824112,thpt.ct@hue.edu.vn,http://thpt-cthang.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/cao_thang.png,POINT (107.592914 16.46148592)
158,Trường THPT Nguyễn Huệ,Trường THPT,Hoàng Thị Kiều Dung,"83 Đinh Tiên Hoàng, Thuận Thành, Thành phố Huế, Thừa Thiên Huế",107.578901,16.47579592,02343534307,nguyenhue@.gmail.com,http://thpt-nhue.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/nguyen_hue.png,POINT (107.578901 16.47579592)
159,Trường THPT Bùi Thị Xuân,Trường THPT,Phạm Thị Ngọc Tâm,"36 Lê Huân, Thuận Hoà, Thành phố Huế, Thừa Thiên Huế",107.572148,16.47173292,02343530869,thpt.btx@hue.edu.vn,http://thpt-btxuan.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/btxuan.jpg,POINT (107.572148 16.47173292)
160,Trường THPT Hai Bà Trưng,Trường THPT,Ngô Đức Thức,"14 Lê Lợi, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế",107.584908,16.46045975,02343823087,truong@thpt-haibatrung-tthue.e,http://thpt-hbtrung.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/hai_ba_trung.png,POINT (107.584908 16.46045975)
161,Trường THPT Quốc Học,Trường THPT,Nguyễn Phước Bửu Tuấn,"12 Lê Lợi, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế",107.5838133,16.45953345,0914019173,thptquochoc@gmail.com,http://thpt-qhoc.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/quoc_hoc(1).png,POINT (107.5838133 16.45953345)
162,Trường THPT Hương Vinh,Trường THPT,Huỳnh Trường Thân,"Hương Vinh, Thị xã Hương Trà",107.566667,16.50583292,903.559.466,htthan.hv@hue.edu.vn,http://thpt-hvinh.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/hvinh.jpg,POINT (107.566667 16.50583292)
163,Trường THPT Hương Trà,Trường THPT,Mai Trọng Đạt,"10 Thống Nhất, Tứ Hạ, Hương Trà, Thừa Thiên Huế",107.470271,16.52080592,988.619.572,datmt.htra@gmail.com,http://thpt-htra.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/huong_tra.png,POINT (107.470271 16.52080592)
164,Trường THPT Phú Bài,Trường THPT,Hoàng Minh,"Tân Trào, Thủy Châu, Hương Thủy, Thừa Thiên Huế",107.67228,16.41902992,0914249975,thpt.pb@hue.edu.vn,http://thpt-pbai.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/phu_bai.png,POINT (107.67228 16.41902992)
165,Trường THPT Hương Thủy,Trường THPT,Ngô Thanh Phong,"Dạ Lê, Thủy Phương, Hương Thủy, Thừa Thiên Huế",107.63515,16.42603992,02343864170,thpt.ht@hue.edu.vn,http://thpt-hthuy.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/hthuy.jpg,POINT (107.63515 16.42603992)
166,Trường THPT Vinh Xuân,Trường THPT,Hoàng Anh Tuấn,"QL49B, Vinh Xuân, Phú Vang, Thừa Thiên Huế",107.75418,16.47122192,0985860058,thpt.vx@hue.edu.vn,http://thpt-vxuan.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/vinh_xuan.jpg,POINT (107.75418 16.47122192)
167,Trường THPT Phan Đăng Lưu,Trường THPT,Phan Thiên Bảo,"Quốc lộ 49B, Phú Dương, Phú Vang, Thừa Thiên Huế",107.602851,16.51144692,0914191525,thpt.pdl@hue.edu.vn,http://thpt-pdluu.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/phan_dang_luu.png,POINT (107.602851 16.51144692)
168,Trường THPT Thuận An,Trường THPT,Đinh Kiền,"73 Kinh Dương Vương, Thuận An, Phú Vang, Thừa Thiên Huế",107.638512,16.54757292,914.422.919,dinhkien1005@gmail.com,http://thpt-tan.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/thuan_an.png,POINT (107.638512 16.54757292)
778,CĐ Nghề Nguyễn Tri Phương,Cao đẳng,Trần Văn Du,"Xã Phong An, H. Phong Điền",107.3718088,16.5723794,0918382113,,https://thua-thien-hue.congtydoanhnghiep.com,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/cdntphuong.jpg,POINT (107.3718088 16.5723794)
751,"Khoa Du lịch, ĐH Huế",Đại học,PGS. TS. TRẦN HỮU TUẤN,22 - Lâm Hoằng - TP. Huế,107.5979208,16.478474,0234.3897744,hat@hueuni.edu.vn,http://hat.hueuni.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/kdlich.jpg,POINT (107.5979208 16.478474)
742,Trường Đại học Sư phạm Huế,Đại học,PGS.TS. Lê Anh Phương,"34 Lê Lợi - Thành phố Huế, tỉnh Thừa Thiên Huế.",107.5897829,16.4674629,(0234) 38222132,admin@dhsphue.edu.vn,http://dhsphue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/su_pham.jpg,POINT (107.5897829 16.4674629)
749,Trường Đại học Ngoại ngữ,Đại học,PGS.TS. Phạm Thị Hồng Nhung,"57 Nguyễn Khoa Chiêm, phường An Cựu, TP Huế",107.5717463,16.4783387,0234.3830677,hucfl@hueuni.vn,http://hucfl.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/dhnngu.jpg,POINT (107.5717463 16.4783387)
750,Trường Đại học Luật,Đại học,PGS.TS. Đoàn Đức Lương,"KQH Đại học Huế, Đường Võ Văn Kiệt, phường An Tây, TP Huế",107.6049742,16.4412902,0234.3946997,law@hul.edu.vn,Website: hul.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/dhluat.jpg,POINT (107.6049742 16.4412902)
752,"Khoa Giáo dục thể chất, ĐH Huế",Đại học,TS. Nguyễn Gắng,"52 Hồ Đắc Di, phường An Cựu, thành phố Huế, tỉnh Thừa Thiên Huế",107.5999375,16.4441156,(0234) 3816 058,khoagiaoducthechat.dhh@hueuni.edu.vn,fpe.hueuni.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/ktchat.jpg,POINT (107.5999375 16.4441156)
753,Khoa Quốc tế - ĐH Huế,Đại học,PGS.TS Nguyễn Hoàng Khánh Linh,"01 Điện Biên Phủ, Vĩnh Ninh, Tp. Huế",107.579036,16.4588977,02343 848561,huis@hueuni.edu.vn,http://huis.hueuni.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/kqte.jpg,POINT (107.579036 16.4588977)
754,khoa kỹ thuật và công nghệ đại học huế,Đại học,TS. Trương Quý Tùng,"01 Điện Biên Phủ, Vĩnh Ninh, TP Huế",107.5775372,16.4582393,(+84) 0234 3845 799,huet@hueuni.edu.vn,http://huet.hueuni.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/khcnghe.jpg,POINT (107.5775372 16.4582393)
756,Trung tâm Tin học – Ngoại ngữ HueIC  - CĐ CN Huế,Cao đẳng,Tiến sỹ. Lê Văn Luận,Địa chỉ: 70 Nguyễn Huệ - Thành phố Huế,107.5855493,16.457684,+84-0234-3822813,cnhue@hueic.edu.vn,http://hueic.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/ttcnttcdnghe.jpg,POINT (107.5855493 16.457684)
758,Cao đẳng Du lịch Huế,Cao đẳng,Vũ Hoài Phương,"Số 4, Trần Quang Khải, Tp Huế",107.5945089,16.4707476,(0234).3826206,info@huetc.edu.vn,http://huetc.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/cndlich.jpg,POINT (107.5945089 16.4707476)
768,Trường THPT Hồng Vân,Trung học,Đoàn Chí Quýnh,"Xã Hồng Vân, Huyện A Lưới, tỉnh Thừa Thiên Huế",107.1402071,16.3532571,02343878924,,http://ptth-hvan.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/hvan.jpg,POINT (107.1402071 16.3532571)
741,Trường Đại học Khoa học Huế,Đại học,PGS.TS. Võ Thanh Tùng,"77 Nguyễn Huệ, TP. Huế",107.5905339,16.4591267,(0234) 3823290,khcndhkh@hueuni.edu.vn,http://husc.hueuni.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/dhkh.jpg,POINT (107.5905339 16.4591267)
747,Trường Đại học Nông Lâm,Đại học,PGS.TS. TRẦN THANH ĐỨC,"102 Phùng Hưng, P. Thuận Thành, TP. Huế",107.5690745,16.4782492,+84234.3522.535,admin@huaf.edu.vn,https://huaf.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/dhnlam.jpg,POINT (107.5690745 16.4782492)
759,Cao đẳng Công nghiệp Huế,Cao đẳng,Tiến sỹ. Lê Văn Luận,70 Nguyễn Huệ - Thành phố Huế.,107.5854597,16.4569089,+84-0234-3822813,cnhue@hueic.edu.vn,http://hueic.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/cdcnghiep.jpg,POINT (107.5854597 16.4569089)
761,Học viện Âm nhạc Huế,Học viện,TS. Hà Mai Hương,"01 Lê Lợi, Thành phố Huế",107.5757416,16.4582653,(84-234) 3819852,vanphonghocvien@gmail.com,http://hocvienamnhachue.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/hvanhac.jpg,POINT (107.5757416 16.4582653)
766,"Khối chuyên, trường Đại học Khoa học Huế",Trung học,PGS.TS. Võ Thanh Tùng,"77 Nguyễn Huệ, TP. Huế",107.5900878,16.4586468,(0234) 3823290,khcndhkh@hueuni.edu.vn,http://husc.hueuni.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/dhkh(1).jpg,POINT (107.5900878 16.4586468)
779,TTGDTX TP Huế,,Th.S Trương Công Bình,Số 182 Phan Chu Trinh - TP Huế,107.1616288,16.5721804,0234.3822894,tttx.hue@thuathienhue.edu.vn,http://tttx-tphue.thuathienhue.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/tx_tp_hue.jpg,POINT (107.1616288 16.5721804)
780,Trung cấp Công nghệ Số 10,Trung cấp,Lê Hòa,"63 Lê Ngô Cát, phường Thủy Xuân, thành phố Huế, tỉnh Thừa Thiên Huế.",107.5755517,16.4355732,0234.3846450,tcn10hue.tuyensinh@gmail.com,www.tcn10hue.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/tc10.png,POINT (107.5755517 16.4355732)
782,Trường Cao đẳng Nghề Số 23 - BQP,Cao đẳng,Đại tá Lê Quang Bình,"số 1 La Sơn Phu Tử, thành phố Huế",107.5382426,16.4484468,0234.3.962968,truong23bqp@gmail.com,truong23bqp-hue.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/23.jpg,POINT (107.5382426 16.4484468)
743,Trường Đại học Phú Xuân,Đại học,TS. Đàm Quang Minh,"176 Trần Phú, TP. Huế",107.5600452,16.467238,0234 7306888,lienhe@pxu.edu.vn,https://phuxuan.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/phu_xuan.jpg,POINT (107.5600452 16.467238)
744,Trường CĐ Sư phạm Huế,Cao đẳng,TS. Hồ Văn Thành,123 Nguyễn Huệ - Thành phố Huế,107.5956492,16.4602031,0234 - 3822179,cdsp@thuathienhue.gov.vn,http://www.cdsphue.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/cdsp_hue.jpg,POINT (107.5956492 16.4602031)
745,Trường ĐH Kinh tế Huế,Đại học,PGS. TS. TRẦN VĂN HÒA,100 Phùng Hưng- TP Huế,107.5716386,16.4599407,02343691333,vanthudhkt@hce.edu.vn,http://www.hce.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/dhkte.jpg,POINT (107.5716386 16.4599407)
746,Trường Đại học Y Dược,Đại học,GS.TS. Nguyễn Vũ Quốc Huy,"06 Ngô Quyền, Phường Vĩnh Ninh, TP.Huế",107.5716385,16.4599392,84.234.3822173,hcmp@huemed-univ.edu.vn,www.huemed-univ.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/dhyduoc.jpg,POINT (107.5716385 16.4599392)
755,Phân hiệu ĐH Huế tại tỉnh Quảng Trị,Đại học,TS. Trương Chí Hiếu,Đường Điện Biên Phủ - Phường Đông Lương – TP Đông Hà – Tỉnh Quảng Trị,107.0951675,16.7889486,02333 565 661,phqt@hueuni.edu.vn,qtb.hueuni.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/phqtri.jpg,POINT (107.0951675 16.7889486)
783,THPT DL Trần Hưng Đạo,Trung học,TRƯƠNG ĐÌNH TẢI,"Nguyễn Sinh Sắc, Vỹ Dạ, Thành phố Huế, Huế, Việt Nam",107.5964964,16.4768923,+842343830155,,http://thpt-thdao.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/tran_hung_dao.jpg,POINT (107.5964964 16.4768923)
757,Huế Star,Trung học,Vệ Văn Lẫm,Tỉnh lộ 10 - Xã Phú Thượng - Huyện Phú Vang - Tỉnh TT. Huế,107.552718,16.4576807,0234 398 47 48,lienhe@huestar.edu.vn,http://ptth-hstar.thuathienhue.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/hue_star.jpg,POINT (107.552718 16.4576807)
767,THPT Nguyễn Đình Chiểu,Trung học,	L ê  Th ân,"Xã Phong An, Huyện  Phong Điền, TT Huế",107.4464578,16.5481689,02343) 551245,thpt.ndc@thuathienhue.edu.vn,http://thpt-ndchieu.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/ndchieu.jpg,POINT (107.4464578 16.5481689)
748,Trường Đại học Nghệ thuật huế,Đại học,TS. ĐÔC XUÂN PHÚ,"10 Tô Ngọc Vân, Thuận Thành, Tp. Huế, Thừa Thiên Huế",107.5717463,16.4783387,0234 3527 746,,http://hufa.hueuni.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/dhnthuat.jpg,POINT (107.5717463 16.4783387)
762,Học viện Hành chính Quốc gia tại huế,Học viện,TS. Đặng Xuân Hoan,"Số 201, đường Phan Bội Châu, TP. Huế, tỉnh Thừa Thiên Huế.",107.5826638,16.4440496,+842343895554,,https://www1.napa.vn/mientrung,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/hvhchinh.jpg,POINT (107.5826638 16.4440496)
781,Trường Cao Đẳng Âu Lạc Huế,Cao đẳng,Huỳnh Hoàng Cư,"146 An Dương Vương, Tp. Huế",107.6060961,16.4484584,(+84) 234 382 2105,,https://aulachue.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/au_lac.jpg,POINT (107.6060961 16.4484584)
760,Cao đẳng Y tế Huế,Cao đẳng,TS.BS. Nguyễn Văn Tuấn,01 Nguyễn Trường Tộ - Tp Huế,107.5837926,16.4583592,0234 3822414,cdythue@cdythue.edu.vn,http://cdythue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/cdy_te.jpg,POINT (107.5837926 16.4583592)
763,Học viện Tài chính tại Huế,Học viện,TS. Phạm Sỹ Hùng,"Phạm Văn Đồng, Phú Thượng, Phú Vang, Thừa Thiên Huế",107.5234779,16.4537266,0234.6296868,info@tckt.edu.vn,http://hfa.tckt.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/hvtchinh.jpg,POINT (107.5234779 16.4537266)
764,VIỆN NGHIÊN CỨU KHOA HỌC MIỀN TRUNG,Học viện,PGS. TS. NCVC.  Hoàng Lê Tuấn Anh,"321 Huỳnh Thúc Kháng, Thành phố Huế",107.5809877,16.4811394,02343.523.339,vanthu@hueiresd.vast.vn,http://www.vast.ac.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/viennckhoc.jpg,POINT (107.5809877 16.4811394)
