id,tendoituong,loaihinh,tenhieutruong,diachi,correctedCoords,poiLong,poiLat,sdt,email,website,anh,geometry
161,Trường THPT Quốc Học,Trường THPT,Nguyễn Phước Bửu Tuấn,"12 Lê Lợi, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế","16.460042628547253, 107.58335766766359",107.5838133,16.45953345,914019173,thptquochoc@gmail.com,http://thpt-qhoc.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/quoc_hoc(1).png,POINT (107.5838133 16.45953345)
751,"Khoa Du lịch, ĐH Huế",Đại học,PGS. TS. TRẦN HỮU TUẤN,22 - Lâm Hoằng - TP. Huế,"16.478472231640595, 107.60010984602961",107.5979208,16.478474,0234.3897744,hat@hueuni.edu.vn,http://hat.hueuni.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/kdlich.jpg,POINT (107.5979208 16.478474)
742,Trường Đại học Sư phạm Huế,Đại học,PGS.TS. Lê Anh Phương,"34 Lê Lợi - Thành phố Huế, tỉnh Thừa Thiên Huế.","16.467436616941157, 107.59199443606111",107.5897829,16.4674629,(0234) 38222132,admin@dhsphue.edu.vn,http://dhsphue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/su_pham.jpg,POINT (107.5897829 16.4674629)
749,Trường Đại học Ngoại ngữ,Đại học,PGS.TS. Phạm Thị Hồng Nhung,"57 Nguyễn Khoa Chiêm, phường An Cựu, TP Huế","16.442685434948576, 107.59920228648201",107.5717463,16.4783387,0234.3830677,hucfl@hueuni.vn,http://hucfl.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/dhnngu.jpg,POINT (107.5717463 16.4783387)
750,Trường Đại học Luật,Đại học,PGS.TS. Đoàn Đức Lương,"KQH Đại học Huế, Đường Võ Văn Kiệt, phường An Tây, TP Huế","16.437162279446355, 107.60989091136788",107.6049742,16.4412902,0234.3946997,law@hul.edu.vn,Website: hul.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/dhluat.jpg,POINT (107.6049742 16.4412902)
752,"Khoa Giáo dục thể chất, ĐH Huế",Đại học,TS. Nguyễn Gắng,"52 Hồ Đắc Di, phường An Cựu, thành phố Huế, tỉnh Thừa Thiên Huế","16.44409548033699, 107.60214336785067",107.5999375,16.4441156,(0234) 3816 058,khoagiaoducthechat.dhh@hueuni.edu.vn,fpe.hueuni.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/ktchat.jpg,POINT (107.5999375 16.4441156)
753,Khoa Quốc tế - ĐH Huế,Đại học,PGS.TS Nguyễn Hoàng Khánh Linh,"01 Điện Biên Phủ, Vĩnh Ninh, Tp. Huế","16.458849063572668, 107.5811895733068",107.579036,16.4588977,02343 848561,huis@hueuni.edu.vn,http://huis.hueuni.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/kqte.jpg,POINT (107.579036 16.4588977)
754,khoa kỹ thuật và công nghệ đại học huế,Đại học,TS. Trương Quý Tùng,"01 Điện Biên Phủ, Vĩnh Ninh, TP Huế","16.45866900239428, 107.58107557943524",107.5775372,16.4582393,(+84) 0234 3845 799,huet@hueuni.edu.vn,http://huet.hueuni.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/khcnghe.jpg,POINT (107.5775372 16.4582393)
758,Cao đẳng Du lịch Huế,Cao đẳng,Vũ Hoài Phương,"Số 4, Trần Quang Khải, Tp Huế","16.46759705886388, 107.59578638719005",107.5945089,16.4707476,(0234).3826206,info@huetc.edu.vn,http://huetc.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/cndlich.jpg,POINT (107.5945089 16.4707476)
741,Trường Đại học Khoa học Huế,Đại học,PGS.TS. Võ Thanh Tùng,"77 Nguyễn Huệ, TP. Huế","16.459120518577127, 107.592722449735",107.5905339,16.4591267,(0234) 3823290,khcndhkh@hueuni.edu.vn,http://husc.hueuni.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/dhkh.jpg,POINT (107.5905339 16.4591267)
747,Trường Đại học Nông Lâm,Đại học,PGS.TS. TRẦN THANH ĐỨC,"102 Phùng Hưng, P. Thuận Thành, TP. Huế","16.47749496806306, 107.57287181159508",107.5690745,16.4782492,+84234.3522.535,admin@huaf.edu.vn,https://huaf.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/dhnlam.jpg,POINT (107.5690745 16.4782492)
759,Cao đẳng Công nghiệp Huế,Cao đẳng,Tiến sỹ. Lê Văn Luận,70 Nguyễn Huệ - Thành phố Huế.,"16.457682608262612, 107.5877386225458",107.5854597,16.4569089,+84-0234-3822813,cnhue@hueic.edu.vn,http://hueic.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/cdcnghiep.jpg,POINT (107.5854597 16.4569089)
761,Học viện Âm nhạc Huế,Học viện,TS. Hà Mai Hương,"01 Lê Lợi, Thành phố Huế","16.45764956495927, 107.57920030184856",107.5757416,16.4582653,(84-234) 3819852,vanphonghocvien@gmail.com,http://hocvienamnhachue.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/hvanhac.jpg,POINT (107.5757416 16.4582653)
766,"Khối chuyên, trường Đại học Khoa học Huế",Trung học,PGS.TS. Võ Thanh Tùng,"77 Nguyễn Huệ, TP. Huế","16.46078371665867, 107.59271452971043",107.5900878,16.4586468,(0234) 3823290,khcndhkh@hueuni.edu.vn,http://husc.hueuni.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/dhkh(1).jpg,POINT (107.5900878 16.4586468)
779,TTGDTX TP Huế,,Th.S Trương Công Bình,Số 182 Phan Chu Trinh - TP Huế,"16.455856833413755, 107.58919053305497",107.1616288,16.5721804,0234.3822894,tttx.hue@thuathienhue.edu.vn,http://tttx-tphue.thuathienhue.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/tx_tp_hue.jpg,POINT (107.1616288 16.5721804)
780,Trung cấp Công nghệ Số 10,Trung cấp,Lê Hòa,"63 Lê Ngô Cát, phường Thủy Xuân, thành phố Huế, tỉnh Thừa Thiên Huế.","16.435571500236495, 107.57774048979013",107.5755517,16.4355732,0234.3846450,tcn10hue.tuyensinh@gmail.com,www.tcn10hue.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/tc10.png,POINT (107.5755517 16.4355732)
782,Trường Cao đẳng Nghề Số 23 - BQP,Cao đẳng,Đại tá Lê Quang Bình,"số 1 La Sơn Phu Tử, thành phố Huế","16.474231446120942, 107.5715729816178",107.5382426,16.4484468,0234.3.962968,truong23bqp@gmail.com,truong23bqp-hue.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/23.jpg,POINT (107.5382426 16.4484468)
743,Trường Đại học Phú Xuân,Đại học,TS. Đàm Quang Minh,"176 Trần Phú, TP. Huế","16.450498598800223, 107.58556959193129",107.5600452,16.467238,0234 7306888,lienhe@pxu.edu.vn,https://phuxuan.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/phu_xuan.jpg,POINT (107.5600452 16.467238)
744,Trường CĐ Sư phạm Huế,Cao đẳng,TS. Hồ Văn Thành,123 Nguyễn Huệ - Thành phố Huế,"16.459083520477375, 107.59866060687509",107.5956492,16.4602031,0234 - 3822179,cdsp@thuathienhue.gov.vn,http://www.cdsphue.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/cdsp_hue.jpg,POINT (107.5956492 16.4602031)
745,Trường ĐH Kinh tế Huế,Đại học,PGS. TS. TRẦN VĂN HÒA,100 Phùng Hưng- TP Huế,"16.476302790405015, 107.57310688550804",107.5716386,16.4599407,2343691333,vanthudhkt@hce.edu.vn,http://www.hce.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/dhkte.jpg,POINT (107.5716386 16.4599407)
746,Trường Đại học Y Dược,Đại học,GS.TS. Nguyễn Vũ Quốc Huy,"06 Ngô Quyền, Phường Vĩnh Ninh, TP.Huế","16.45908864108932, 107.58740812675823",107.5716385,16.4599392,84.234.3822173,hcmp@huemed-univ.edu.vn,www.huemed-univ.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/dhyduoc.jpg,POINT (107.5716385 16.4599392)
748,Trường Đại học Nghệ thuật huế,Đại học,TS. ĐÔC XUÂN PHÚ,"10 Tô Ngọc Vân, Thuận Thành, Tp. Huế, Thừa Thiên Huế","16.478238778286425, 107.5741878793323",107.5717463,16.4783387,0234 3527 746,,http://hufa.hueuni.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/dhnthuat.jpg,POINT (107.5717463 16.4783387)
762,Học viện Hành chính Quốc gia tại huế,Học viện,TS. Đặng Xuân Hoan,"Số 201, đường Phan Bội Châu, TP. Huế, tỉnh Thừa Thiên Huế.","16.444105161199587, 107.58340334037894",107.5826638,16.4440496,842343895554,,https://www1.napa.vn/mientrung,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/hvhchinh.jpg,POINT (107.5826638 16.4440496)
781,Trường Cao Đẳng Âu Lạc Huế,Cao đẳng,Huỳnh Hoàng Cư,"146 An Dương Vương, Tp. Huế","16.449571289251836, 107.6054397622797",107.6060961,16.4484584,(+84) 234 382 2105,,https://aulachue.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/au_lac.jpg,POINT (107.6060961 16.4484584)
760,Cao đẳng Y tế Huế,Cao đẳng,TS.BS. Nguyễn Văn Tuấn,01 Nguyễn Trường Tộ - Tp Huế,"16.458400680168975, 107.58596617836086",107.5837926,16.4583592,0234 3822414,cdythue@cdythue.edu.vn,http://cdythue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/cdy_te.jpg,POINT (107.5837926 16.4583592)
764,VIỆN NGHIÊN CỨU KHOA HỌC MIỀN TRUNG,Học viện,PGS. TS. NCVC.  Hoàng Lê Tuấn Anh,"321 Huỳnh Thúc Kháng, Thành phố Huế","16.4812079565287, 107.58272884616012",107.5809877,16.4811394,2343523339,vanthu@hueiresd.vast.vn,http://www.vast.ac.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/viennckhoc.jpg,POINT (107.5809877 16.4811394)
167,Trường THPT Phan Đăng Lưu,Trường THPT,Phan Thiên Bảo,"Quốc lộ 49B, Phú Dương, Phú Vang (TP Huế), Thừa Thiên Huế","16.511446617268298, 107.60284717780459",107.602851,16.51144692,914191525,thpt.pdl@hue.edu.vn,http://thpt-pdluu.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/phan_dang_luu.png,POINT (107.602851 16.51144692)
168,Trường THPT Thuận An,Trường THPT,Đinh Kiền,"73 Kinh Dương Vương, Thuận An, Phú Vang (TP Huế), Thừa Thiên Huế","16.54752564882415, 107.63857038549833",107.638512,16.54757292,914422919,dinhkien1005@gmail.com,http://thpt-tan.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/thuan_an.png,POINT (107.638512 16.54757292)
763,Học viện Tài chính tại Huế,Học viện,TS. Phạm Sỹ Hùng,"Phạm Văn Đồng, Phú Thượng, Phú Vang (TP Huế), Thừa Thiên Huế","16.496512608455443, 107.60224177127468",107.5234779,16.4537266,0234.6296868,info@tckt.edu.vn,http://hfa.tckt.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/hvtchinh.jpg,POINT (107.5234779 16.4537266)
162,Trường THPT Hương Vinh,Trường THPT,Huỳnh Trường Thân,"Hương Vinh, Thị xã Hương Trà (TP Huế)","16.492339250712124, 107.57144126149817",107.566667,16.50583292,903559466,htthan.hv@hue.edu.vn,http://thpt-hvinh.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/hvinh.jpg,POINT (107.566667 16.50583292)
