id,tendoituong,loaihinh,tenhieutruong,diachi,poiLong,poiLat,sdt,email,website,anh,geometry
200,Trường THCS Thủy Lương,Trường THCS,Phan Văn Phước,"Công Lương - Thuỷ Vân, Xã Thủy Vân, Thị xã Hương Thuỷ, Tỉnh Thừa Thiên - Huế.",107.697939,16.42052592,02343861161,thuyluongthcs@gmail.com,thcs-tluong.huongthuy.thuathienhue.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/thuy_luong.jpg,POINT (107.697939 16.42052592)
201,Trường THCS Thủy Phù,Trường THCS,TRẦN ĐÌNH PHỔ,"Thủy Phù, Hương Thủy, Thừa Thiên Huế",107.713778,16.37733292,0542213334,trandinhpho1957@gmail.com thcs-tphu.huongthuy@thuathienhue.edu.vn,thcs-tphu.huongthuy.thuathienhue.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/thuy_phu.jpg,POINT (107.713778 16.37733292)
202,Trường THCS Thủy Phương,Trường THCS,Lê Ngọc Thành,"44 Dạ Lê, Thủy Phương, Hương Thủy, Thừa Thiên Huế",107.633556,16.42888892,02343861666,thcs-tphuong.huongthuy@thuathienhue.edu.vn,thcs-tphuong.huongthuy.thuathienhue.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/t_phuong.jpg,POINT (107.633556 16.42888892)
203,Trường THCS Thủy Thanh,Trường THCS,Nguyễn Văn Vân,"Xã Thủy Thanh, Thị xã Hương Thủy, T. Thừa Thiên Huế",107.6430913,16.47439327,02343861586,thcs-tthanh.huongthuy@thuathienhue.edu.vn,thcs-tthanh.huongthuy.thuathienhue.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/thuy_thanh.png,POINT (107.6430913 16.47439327)
204,Trường THCS Thủy Vân,Trường THCS,Huỳnh Thị Thanh Hương,"Thủy Vân, Tx. Hương Thủy, Thừa Thiên Huế",107.6112119,16.4881928,02343865411,thcs-tvan.huongthuy@thuathienhue.edu.vn,thcs-tvan.huongthuy.thuathienhue.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/thuy_van.jpg,POINT (107.6112119 16.4881928)
205,Trường THCS Trần Thúc Nhẫn,Trường THCS,Trương Văn Dũng,"ĐT8, Quảng Thọ, Quảng Điền, Thừa Thiên Huế",107.525014,16.53287092,02343554348,thcs-ttnhan.quangdien@thuathienhue.edu.vn,thcs-ttnhan.quangdien.thuathienhue.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/tt_nhan.jpg,POINT (107.525014 16.53287092)
206,Trường THCS Đặng Tất,Trường THCS,Phan Đình Quốc Nghĩa,"Cầu Tây Thành, Phú Ngạn, Quảng Điền, Thừa Thiên Huế",107.554145,16.54486392,02343556526,thcs-dtat.quangdien@thuathienhue.edu.vn,thcs-dtat.quangdien.thuathienhue.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/dang_tat.png,POINT (107.554145 16.54486392)
207,Trường THCS Nguyễn Hữu Dật,Trường THCS,Ngô Minh Quốc,"Thôn Đông Xuyên, Xã Quảng An, Huyện Quảng Điền, Thừa Thiên, Huế",107.548994,16.54772492,02343556241,thcsqdien.qan@hue.edu.vn,thcsqdien.qan.hue.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/nh_dat.jpg,POINT (107.548994 16.54772492)
208,Trường THCS Nguyễn Hữu Đà,Trường THCS,Trần Quang Minh,"No 1, TL11A,, Quảng Vinh, Quảng Điền, Thừa Thiên Huế",107.489477,16.55714592,02343554344,thcsquangvinh@gmail.com,thcs-nhda.quangdien.thuathienhue.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/nh_da.jpg,POINT (107.489477 16.55714592)
209,Trường THCS Ngô Thế Lân,Trường THCS,Hồ Danh,"Quảng Phước, Huyện Quảng Điền, Tỉnh Thừa Thiên - Huế.",107.521901,16.57111792,0543564449,danhho4848@gmail.com,Trường THCS Ngô Thế Lân thcs-qphuoc.quangdien.thuathienhue.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/nt_lan.jpg,POINT (107.521901 16.57111792)
210,Trường THCS Đặng Dung,Trường THCS,ĐỖ XUÂN LONG,"T. Sịa, Quảng Điền, Thừa Thiên Huế",107.51223,16.57846792,02343555213,thcs-ddung.quangdien@thuathienhue.edu.vn,thcs-ddung.quangdien.thuathienhue.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/dang_dung.png,POINT (107.51223 16.57846792)
211,Trường THCS Nguyễn Đình Anh,Trường THCS,Trần Công Vinh,Thôn Thuỷ Lập - Xã Quảng Lợi - Huyện Quảng Điền - Thừa Thiên - Huế.,107.48128,16.60408892,02343555048,thcsqdien.qloi@hue.edu.vn,thcs-ndanh.quangdien.thuathienhue.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/nguyen_dinh_anh.png,POINT (107.48128 16.60408892)
212,Trường THCS Phan Thế Phương,Trường THCS,Thái Duy Linh,"Xã Quảng Công, Xã Quảng Công, Huyện Quảng Điền, Thừa Thiên Huế. Giám đốc: ...",107.52556,16.62366692,0979403767,thcsqdien.qcong@hue.edu.vn,thcs-qcong.quangdien.thuathienhue.edu.vn.,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/pt_phuong.jpg,POINT (107.52556 16.62366692)
213,Trường THCS Phạm Quang Ái,Trường THCS,Trần Đình Nhật,"Thôn 2 Xã Quảng Ngạn, Huyện Quảng Điền, Tỉnh Thừa Thiên - Huế.",107.50754,16.63174492,0986192932,trandinhnhat1202@yahoo.com.vn,thcs-pqai.quangdien.thuathienhue.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/pq_ai.jpg,POINT (107.50754 16.63174492)
214,Trường THCS Lê Xuân,Trường THCS,HOÀNG TÝ,"Tỉnh lộ 4, Trung Kiều, Quảng Thái, Thừa Thiên Huế",107.426846,16.63312692,0543555315,thcs-lxuan.quangdien@thuathienhue.edu.vn,thcs-lxuan.quangdien.thuathienhue.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/le_xuan.png,POINT (107.426846 16.63312692)
215,Trường THCS An Bằng-Vinh An,Trường THCS,TRƯƠNG MINH NAM,"Thôn An Bằng, Xã Vinh An, H. Phú Vang, T. Thừa Thiên Huế",107.8291806,16.41317056,02343868868,namrose2007@yahoo.com.vn,thcs-abangvan.phuvang.thuathienhue.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/ab_v_an.jpg,POINT (107.8291806 16.41317056)
216,Trường THCS Phú An,Trường THCS,Nguyễn Đông,Phú An - Phú Vang - TT Huế,107.628326,16.50598692,02343985941,thcs-pan.phuvang@thuathienhue.edu.vn,thcs-pan.phuvang.thuathienhue.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/p_an.jpg,POINT (107.628326 16.50598692)
217,Trường THCS Phú Dương,Trường THCS,La Văn Tuất,"Thôn Lưu Khánh, Xã Phú Dương, H. Phú Vang, T. Thừa Thiên Huế.",107.6025164,16.51000643,02343859703,thcspvang.pduong@hue.edu.vn,thcs-pduong.phuvang.thuathienhue.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/p_duong.jpg,POINT (107.6025164 16.51000643)
218,Trường THCS Phú Đa,Trường THCS,Đỗ Nghi,"Phú Đa, Phú Vang, Thừa Thiên Huế",107.7396,16.44369992,02343869206,thcs-pda.phuvang@thuathienhue.edu.vn,thcs-pda.phuvang.thuathienhue.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/p_da.jpg,POINT (107.7396 16.44369992)
219,Trường THCS Phú Hải,Trường THCS,Đỗ Công Huy,"Xã Phú Hải, H. Phú Vang, T. Thừa Thiên Huế.",107.696771,16.52739392,02343867365,thcspvang.phai@hue.edu.vn,http://thcs-phai.phuvang.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/p_hai.jpg,POINT (107.696771 16.52739392)
220,Trường THCS Phú Lương,Trường THCS,Trần Công Chiến,"Thôn Đông A, Xã Phú Lương, Huyện Phú Vang, Tỉnh Thừa Thiên - Huế.",107.6872,16.44949992,0974124240,thcsvinhxuanpv@gmail.com,http://thcs-pluong.phuvang.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/p_luong.jpg,POINT (107.6872 16.44949992)
221,Trường THCS Phú Mậu,Trường THCS,Phạm Hồng Hải,"Thôn Mậu Tài, Xã Phú Mậu, H. Phú Vang, T. Thừa Thiên Huế.",107.581725,16.51854516,02343850258,phumauthcs@gmail.com,http://thcs-pmau.phuvang.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/p_mau.jpg,POINT (107.581725 16.51854516)
222,Trường THCS Phú Mỹ,Trường THCS,Nguyễn Văn Minh,"Tỉnh lộ 10, Xã Phú Mỹ, H. Phú Vang, T. Thừa Thiên Huế.",107.623156,16.49414192,02343850254,thcspvang.pmy@hue.edu.vn,http://thcs-pmy.phuvang.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/p_my.jpg,POINT (107.623156 16.49414192)
223,Trường THCS Phú Tân,Trường THCS,Hồ Văn Dũng,"Thuận An, Phú Vang, Thừa Thiên Huế",107.639753,16.54424592,02343627172,thcspvang.ptan@hue.edu.vn,http://thcs-ptan.phuvang.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/p_tan.jpg,POINT (107.639753 16.54424592)
224,Trường THCS Phú Thuận,Trường THCS,Nguyễn Phúc Đông,"QL49B, Xuân An, Phú Thuận, Phú Vang, Thừa Thiên Huế",107.679662,16.54017006,0914977345,thcs-pthuan.phuvang@thuathienhue.edu.vn/,http://thcs-pthuan.phuvang.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/phu_thuan.png,POINT (107.679662 16.54017006)
225,Trường THCS Phú Thượng,Trường THCS,Tôn Thất Viễn Đích,"Tỉnh lộ 10, Xã Phú Thượng, H. Phú Vang, T. Thừa Thiên Huế.",107.603944,16.49258192,0988806027,viendichpthg@gmail.com,http://thcs-pthuong.phuvang.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/phu_thuong.png,POINT (107.603944 16.49258192)
226,Trường THCS Phú Xuân,Trường THCS,Hoàng Trọng Hiển,"Thôn Lộc Sơn, Xã Phú Xuân, H. Phú Vang, T. Thừa Thiên Huế.",107.6844592,16.4791039,02343890608,thcspvang.pxuan@hue.edu.vn,http://thcs-pxuan.phuvang.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/p_xuan.jpg,POINT (107.6844592 16.4791039)
227,Trường THCS Vinh Thanh,Trường THCS,Mai Xuân Phước,"QL49B, Vinh Thanh, Phú Vang, Thừa Thiên Huế",107.7857251,16.43170338,0935888646,phuocthcs@gmail.com,http://thcs-vthanh.phuvang.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/vinh_thanh.png,POINT (107.7857251 16.43170338)
228,Trường THCS Vinh Xuân,Trường THCS,Dương Đức Thoan,"Vinh Xuân, Phú Vang, Thừa Thiên Huế",107.759671,16.46653692,0975517319,thcs-vxuan.phuvan@.thuathienhue.edu.vn,http://thcs-vxuan.phuvang.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/v_xuan.jpg,POINT (107.759671 16.46653692)
229,Trường THCS Lăng Cô,Trường THCS,Trần Thị Quý Đông,"TT. Lăng Cô, Phú Lộc, Thừa Thiên Huế",108.080556,16.23777792,02343629372,thcspl.lco@hue.edu.vn,http://thcs-lco.phuloc.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/l_co.jpg,POINT (108.080556 16.23777792)
230,Trường THCS Lộc An,Trường THCS,Lê Đức Chính,"AH1, Lộc An, Phú Lộc, Thừa Thiên Huế",107.758333,16.32805592,02343873207,c2locan.thuathienhue@moet.edu.,http://thcs-lan.phuloc.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/loc_an.png,POINT (107.758333 16.32805592)
231,Trường THCS Lộc Bổn,Trường THCS,Bạch Văn Phước,Xã Lộc Bổn - Huyện Phú Lộc - Thừa Thiên - Huế.,107.730833,16.36555592,0946970450,bachphuoclocson@gmail.com,http://thcs-lbon.phuloc.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/loc_bon(1).png,POINT (107.730833 16.36555592)
232,Trường THCS Lộc Điền,Trường THCS,Đoàn Xuân Thành,"Thôn Lương Quý Phú, Xã Lộc Điền, Huyện Phú Lộc, Lộc Điền, Phú Lộc, Thừa Thiên Huế",107.788611,16.31055592,02343876507,c2locdien.thuathienhue@moet.ed,http://thcs-ldien.phuloc.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/l_dien.jpg,POINT (107.788611 16.31055592)
233,Trường THCS Lộc Sơn,Trường THCS,Ngô Đức Viễn,"Lộc Sơn, Phú Lộc, Thừa Thiên Huế",107.744122,16.34139492,02346282144,thcspl.lson@hue.edu.vn,http://thcs-lson.phuloc.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/l_son.jpg,POINT (107.744122 16.34139492)
234,Trường THCS Lộc Tiến,Trường THCS,Phan Cho,Thôn Trung Kiền - Xã Lộc Tiến - Huyện Phú Lộc - Tỉnh Thừa Thiên Huế.,107.9906487,16.27370682,0234872204,thcsloctien.phuloc@gmail.com,http://thcs-ltien.phuloc.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/t_loc.jpg,POINT (107.9906487 16.27370682)
235,Trường THCS Lộc Thủy,Trường THCS,HUỲNH XUÂN MỸ,"Thôn Phú Cường, Xã Lộc Thủy, H. Phú Lộc, T. Thừa Thiên Huế.",107.9325521,16.27348022,0914160091,thcspl.lthuy@hue.edu.vn,http://thcs-lthuy.phuloc.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/thuy_loc.jpg,POINT (107.9325521 16.27348022)
236,Trường THCS Vinh Giang,Trường THCS,Phan Tiến Dũng,"QL49B, Vinh Giang, Phú Lộc, Thừa Thiên Huế",107.8692,16.36189992,02343688182,thcspl.vgiang@hue.edu.vn,http://thcs-vgiang.phuloc.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/vinh_giang.jpg,POINT (107.8692 16.36189992)
237,Trường THCS Xuân Lộc,Trường THCS,Nguyễn Mạnh Quát,http://thcs-xloc.phuloc.thuathienhue.edu.vn/,107.695,16.26416692,0906597009,truongthcsxuanloc@gmail.com,"Thôn 3, xã Xuân Lộc, huyện Phú Lộc, tỉnh Thừa Thiên Huế.",https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/xuan_loc.jpg,POINT (107.695 16.26416692)
238,Trường THCS thị trấn Phú Lộc,Trường THCS,TRẦN VĂN THOẢ,"Tt. Phú Lộc, H. Phú Lộc, T. Thừa Thiên Huế.",107.8821679,16.26912176,0934848018,thcspl.ttploc@hue.edu.vn,http://thcs-ttploc.phuloc.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/ttp_loc.jpg,POINT (107.8821679 16.26912176)
239,Trường THCS Vinh Hiền,Trường THCS,Trương Văn Hải,"Đông Dương, Phú Lộc, Thừa Thiên Huế",107.8954452,16.348001,02343874619,c2vinhhien.thuathienhue@moet.e,http://thcs-vhien.phuloc.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/vinh_hien.jpg,POINT (107.8954452 16.348001)
240,Trường THCS Nguyễn Tri Phương,Trường THCS,Nguyễn Thị Diệu Trang,63 Tố Hữu TP Huế,107.3881707,16.65860666,02343553594,thcs-ntphuong@thuathienhue.edu.vn,http://thcs-ntphuong.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/nt_phuong.jpg,POINT (107.3881707 16.65860666)
241,Trường THCS Điền Hòa,Trường THCS,Nguyễn Khanh,"QL49B, Điền Hoà, Phong Điền, Thừa Thiên Huế",107.447814,16.66557092,02343563861,thcspdien.dhoa@hue.edu.vn,http://thcs-dhoa.phongdien.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/dien_hoa.jpg,POINT (107.447814 16.66557092)
242,Trường THCS Điền Lộc,Trường THCS,Lê Thông,"Điền Lộc, Huyện Phong Điền, Tỉnh Thừa Thiên - Huế.",107.418009,16.68100792,02343552079,thcspdien.dloc@hue.edu.vn,http://thcs-dloc.phongdien.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/dien_loc.jpg,POINT (107.418009 16.68100792)
243,Trường THCS Lê Văn Miến,Trường THCS,Lê Văn Dực,"Phong Thu, Xã Phong Thu, Huyện Phong Điền, Thừa Thiên Huế.",107.347051,16.58846292,02343752889,thcspdien.lvmien@hue.gov.vn,http://thcs-lvmien.phongdien.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/van_mien.jpg,POINT (107.347051 16.58846292)
244,Trường THCS Nguyễn Duy,Trường THCS,Hoàng Hữu Hiền,"Thôn Khánh Mỹ, Thị trấn Phong Điền, Huyện Phong Điền, Thừa Thiên, Huế",107.370014,16.57966792,02343551238,thcspdien.nduy@hue.edu.vn,http://thcs-nduy.phongdien.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/nguyen_duy.jpg,POINT (107.370014 16.57966792)
245,Trường THCS Phong An,Trường THCS,Trần Công Minh,"Phong An, Phong Điền, Thừa Thiên Huế",107.442193,16.53675892,02343551963,pdien.pan@hue.edu.vn,http://thcs-pan.phongdien.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/phong_an.png,POINT (107.442193 16.53675892)
246,Trường THCS Phong Bình,Trường THCS,LÊ THỪA TRIỀU,"Xã Phong Bình, Huyện Phong Điền, Phong Bình, Phong Điền, Thừa Thiên Huế",107.333758,16.67298992,02343553539,thcspdien.pbinh@hue.edu.vn,http://thcs-pbinh.phongdien.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/phong_binh.jpg,POINT (107.333758 16.67298992)
247,Trường THCS Phong Mỹ,Trường THCS,Mai Hồng Phi,"Phong Mỹ, Phong Điền, Thừa Thiên Huế",107.319945,16.52366192,2343553136,thcspdien.pmy@hue.edu.vn,http://thcs-pmy.phongdien.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/phong_my.jpg,POINT (107.319945 16.52366192)
248,Trường THCS Phong Sơn,Trường THCS,Nguyễn Lâm Tư,"Xã Phong Sơn - Huyện Phong Điền - Thừa Thiên __ Huế,",107.402709,16.49253692,02343553106,thcspdien.pson@hue.edu.vn,http://thcs-pson.phongdien.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/phong_son.png,POINT (107.402709 16.49253692)
249,Trường THCS Phong Xuân,Trường THCS,Dương Xuân Phu,Bình An Phong Xuân - Huyện Phong Điền - Thừa Thiên - Huế.,107.3620402,16.50604444,02343553147,thcspdien.pxuan@hue.edu.vn.,http://thcs-pxuan.phongdien.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/phong_xuan.jpg,POINT (107.3620402 16.50604444)
250,Trường THCS Hương Hòa,Trường THCS,Nguyễn Phái,Thôn 9 - Xã Hương Hoà - Huyện Nam Đông - Thừa Thiên - Huế.,107.708732,16.16070592,02343893026,thcshuonghoa.ndong@gmail.com,http://thcs-hhoa.namdong.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/huong_hoa.jpg,POINT (107.708732 16.16070592)
169,Trường THPT Nguyễn Sinh Cung,Trường THPT,Phan Thị Sông Hương,". Thôn Hòa Đa Tây, Tt. Phú Đa, H. Phú Vang, T. Thừa Thiên Huế",107.71366,16.44347792,02343868389,thpt-nscung@thuathienhue.edu.vn,http://thpt-nscung.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/nscung.jpg,POINT (107.71366 16.44347792)
170,Trường THPT Phú Lộc,Trường THPT,Trần Thị Hồng Hạnh,"Thị Trấn Phú Lộc, Phú Lộc",107.8676799,16.26868581,02343871574,thpt.pl@thue.edu.vn,http://thpt-ploc.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/phu_loc.png,POINT (107.8676799 16.26868581)
171,Trường THPT Thừa Lưu,Trường THPT,Nguyễn Hoàng Ngọc,"Thôn Phước Lộc, Xã Lộc Tiến, H. Phú Lộc, T. Thừa Thiên Huế",107.969722,16.27305592,0948765301,hoangngoc12345@gmail.com,http://thpt-tluu.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/thu_luu.jpg,POINT (107.969722 16.27305592)
172,Trường THPT Vinh Lộc,Trường THPT,Nguyễn Văn Tuấn,"Thôn Phụng Chánh, xã Vinh Hưng, huyện Phú Lộc Thừa Thiên Huế",107.842652,16.37394682,0986316272,vantuanc3@gmail.com,http://thpt-vloc.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/vinh_loc.png,POINT (107.842652 16.37394682)
173,Trường THPT Nguyễn Đình Chiểu,Trường THPT,Lê Thân,"QL1A, Phong An, Phong Điền, Thừa Thiên Huế",107.4484273,16.54822312,02343508833,thpt.ndc@hue.edu.vn,http://thpt-ndchieu.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/nguyen_dinh_chieu.png,POINT (107.4484273 16.54822312)
174,Trường THPT Phong Điền,Trường THPT,Lê Văn Phước,"34 Văn Lang, TT. Phong Điền, Phong Điền, Thừa Thiên Huế",107.374058,16.5777001,02343551709,levanphuocht@gmail.com,http://thpt-pdien.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/phong_dien.png,POINT (107.374058 16.5777001)
